!!SYSTEM_INI
NUM_CHANS=1
JEDEC_DATA_BUS_BITS=64
TRANS_QUEUE_DEPTH=64
CMD_QUEUE_DEPTH=32
EPOCH_LENGTH=100000
USE_LOW_POWER=false
TOTAL_ROW_ACCESSES=4
ROW_BUFFER_POLICY=close_page
SCHEDULING_POLICY=rank_then_bank_round_robin
ADDRESS_MAPPING_SCHEME=scheme2
QUEUING_STRUCTURE=per_rank
DEBUG_TRANS_Q=false
DEBUG_CMD_Q=false
DEBUG_ADDR_MAP=false
DEBUG_BANKSTATE=false
DEBUG_BUS=false
DEBUG_BANKS=false
DEBUG_POWER=false
VIS_FILE_OUTPUT=true
VERIFICATION_OUTPUT=false
NUM_RANKS=1
!!DEVICE_INI
NUM_BANKS=16
NUM_ROWS=65536
NUM_COLS=2048
DEVICE_WIDTH=4
REFRESH_PERIOD=7800
tCK=1.5
CL=10
AL=0
BL=8
tRAS=24
tRCD=10
tRRD=4
tRC=34
tRP=10
tCCD=4
tRTP=5
tWTR=5
tWR=10
tRTRS=1
tRFC=107
tFAW=20
tCKE=4
tXP=4
tCMD=1
IDD0=130
IDD1=155
IDD2P=10
IDD2Q=70
IDD2N=70
IDD3Pf=60
IDD3Ps=60
IDD3N=90
IDD4W=300
IDD4R=255
IDD5=305
IDD6=9
IDD6L=12
IDD7=460
Vdd=1.5
!!EPOCH_DATA
ms,Background_Power[0][0],ACT_PRE_Power[0][0],Burst_Power[0][0],Refresh_Power[0][0],Bandwidth[0][0][0],Average_Latency[0][0][0],Bandwidth[0][0][1],Average_Latency[0][0][1],Bandwidth[0][0][2],Average_Latency[0][0][2],Bandwidth[0][0][3],Average_Latency[0][0][3],Bandwidth[0][0][4],Average_Latency[0][0][4],Bandwidth[0][0][5],Average_Latency[0][0][5],Bandwidth[0][0][6],Average_Latency[0][0][6],Bandwidth[0][0][7],Average_Latency[0][0][7],Bandwidth[0][0][8],Average_Latency[0][0][8],Bandwidth[0][0][9],Average_Latency[0][0][9],Bandwidth[0][0][10],Average_Latency[0][0][10],Bandwidth[0][0][11],Average_Latency[0][0][11],Bandwidth[0][0][12],Average_Latency[0][0][12],Bandwidth[0][0][13],Average_Latency[0][0][13],Bandwidth[0][0][14],Average_Latency[0][0][14],Bandwidth[0][0][15],Average_Latency[0][0][15],Rank_Aggregate_Bandwidth[0][0],Rank_Average_Bandwidth[0][0],Aggregate_Bandwidth[0],Average_Bandwidth[0],
4.35,2.14362,4.31196,2.01986,0.104903,0.287294,128.857,0.2865,127.001,0.284115,124.583,0.283718,127.052,0.285705,127.025,0.287692,131.983,0.285705,129.888,0.282129,122.234,0.2865,127.766,0.282129,123.959,0.281731,122.903,0.282526,124.625,0.292063,124.432,0.288089,124.83,0.288089,123.324,0.291268,127.752,4.57525,4.57525,4.57525,0.285953,
4.5,2.11652,3.45684,1.6374,0.104903,0.230869,127.202,0.224511,126.797,0.230471,133.361,0.234842,132.659,0.234048,133.196,0.230471,126.796,0.230471,128.183,0.232855,131.636,0.229677,133.403,0.224113,124.047,0.225306,124.183,0.229677,130.081,0.22769,130.672,0.226895,127.839,0.228882,130.731,0.229677,127.798,3.67045,3.67045,3.67045,0.229403,
4.65,2.06601,2.41675,1.1504,0.110424,0.160933,107.972,0.159343,104.856,0.160138,107.05,0.15974,105.351,0.160138,104.904,0.15974,107.814,0.16133,105.342,0.15974,103.39,0.15974,108.014,0.160933,106.693,0.160933,104.216,0.160933,105.275,0.16133,109.197,0.15974,104.491,0.160933,106.761,0.159343,104.456,2.56499,2.56499,2.56499,0.160312,
4.8,2.07888,2.95626,1.41247,0.104903,0.19908,119.402,0.19749,117.515,0.195106,117.064,0.194311,116.778,0.194311,114.803,0.193516,114.676,0.191927,120.135,0.196695,116.296,0.196695,117.785,0.196298,116.215,0.19749,120.71,0.195503,114.3,0.196298,118.281,0.195901,115.471,0.198285,118.929,0.197093,115.892,3.136,3.136,3.136,0.196,
4.95,2.15128,4.53361,2.17305,0.104903,0.301997,147.081,0.3016,143.857,0.300805,146.822,0.300805,146.405,0.299613,147.628,0.298818,143.524,0.301202,146.134,0.300407,144.101,0.3016,147.019,0.300805,145.5,0.300805,145.612,0.3016,144.883,0.299613,148.203,0.301997,145.577,0.300407,145.319,0.30001,145.92,4.81208,4.81208,4.81208,0.300755,
5.1,2.15624,6.15364,2.94336,0.104903,0.40253,295.486,0.40253,297.592,0.392596,290.693,0.380278,291.943,0.417233,302.383,0.42518,310.366,0.425577,309.857,0.409285,305.894,0.397364,310.083,0.409285,312.213,0.410875,306.892,0.413259,301.851,0.414054,314.432,0.411272,298.068,0.398556,296.51,0.420411,308.206,6.53028,6.53028,6.53028,0.408143,
5.25,2.15904,6.39325,3.05172,0.110424,0.432332,388.008,0.421604,389.863,0.428756,391.976,0.411272,378.582,0.437498,380.982,0.418822,376.722,0.423193,386.76,0.409285,386.74,0.434319,395.362,0.412067,389.551,0.435511,386.187,0.424782,394.888,0.423988,392.214,0.415246,387.772,0.439088,389.903,0.418425,381.648,6.78619,6.78619,6.78619,0.424137,
5.4,2.15909,6.51493,3.12235,0.104903,0.445445,384.563,0.434717,373.545,0.425577,366.68,0.419219,376.653,0.438293,375.217,0.426769,383.03,0.433524,379.179,0.439882,385.269,0.432332,379.345,0.421604,378.628,0.439485,378.542,0.444253,375.712,0.427564,373.421,0.428756,376.727,0.443459,380.971,0.412464,385.92,6.91334,6.91334,6.91334,0.432084,
5.55,2.15904,6.44118,3.09254,0.104903,0.421604,390.177,0.424782,397.189,0.433524,391.587,0.418425,395.067,0.435511,391.424,0.427167,398.769,0.431935,392.798,0.425975,396.334,0.428359,396.282,0.425577,392.547,0.424782,394.283,0.434319,397.927,0.430743,387.325,0.423193,393.988,0.428756,402.842,0.421206,392.09,6.83586,6.83586,6.83586,0.427241,
5.7,2.15908,6.58045,3.16277,0.104903,0.436703,400.964,0.443459,410.231,0.418425,391.855,0.444253,395.045,0.439485,391.505,0.439485,398.128,0.432332,392.901,0.445445,401.375,0.435114,404.401,0.429948,395.047,0.443856,390.719,0.429948,393.34,0.430743,387.762,0.445048,394.642,0.434717,398.975,0.435114,396.505,6.98407,6.98407,6.98407,0.436505,
