,numPCHs1,metadata_predictor0,metacache_rownum1024,metacache_rownum2048,metacache_rownum4096,metacache_rownum8192,ropr_entry_num8192,ropr_entry_num16384,ropr_entry_num32768,ropr_entry_num65536,ropr_col_num1,ropr_col_num2,ropr_col_num4,ropr_col_num8_x,ropr_col_num8_y,ropr_col_num16,ropr_col_num32,ropr_col_num64,Ideal
pr.web,1.0,1.0748487214436218,1.0738515978660184,1.0728595196338035,1.0718330293471328,1.071767932758932,1.0663230324374542,1.0673067691189801,1.0655531395791247,1.0660267741099165,1.0655531395791247,1.0657277892099506,1.0648565899189337,1.0611269304681168,1.0633270721554238,1.0633941292972378,1.0538927065658645,1.0479750914713193,1.07484872144
pr.kron,1.0,1.0950805835629753,0.994414257786279,0.9955988496129881,0.9984348291485392,1.0035875032863428,1.0000101889062536,1.0024366948041716,1.0068388163432775,1.0222727929116338,1.0068388163432775,1.0074478793334654,1.005799330842137,1.006428927547448,0.9998120006606507,0.999216533771498,0.9985485172455159,0.9994330203536418,1.09508058356
pr.urand,1.0,1.0016812318839852,0.9909961973226207,0.991416283467222,0.9916622418488397,0.9925496302261931,1.001351071331833,1.0010411316831758,1.001463630619806,1.0012594884033954,1.001463630619806,1.0010857681864578,1.0010235142470831,1.000978905619842,1.001017120954863,1.0000101056846922,1.0004203637051305,0.9997259176898923,1.00168123188
pr.twitter,1.0,1.0862645259545047,1.0027822654424683,1.0075976956564632,1.017732410384534,1.0432996450242733,1.0299595201772707,1.0744485772902295,1.0825032084019166,1.077681908357815,1.0825032084019166,1.0807440209131338,1.0815494267293404,1.0794208249740072,1.0050324320200075,0.9987853014862282,1.00173183948001,1.000560627659393,1.08626452595
RAND,1.0,1.3396547008400261,0.7870176098591779,0.7914208360820655,0.8008111352344134,0.8204639877690834,1.200517168081627,1.1884875743348298,1.19139784066186,1.1861046782606952,1.19139784066186,1.2079592893224949,1.206722637713099,1.2090943315282885,1.201429251804696,1.2017948066608304,1.2036926950314675,1.2020144982125651,1.33965470084
STREAM,1.0,1.000008918483256,0.9968511076364859,0.9970420077728024,0.9973446880519073,0.9980496752297463,1.0000348481137773,1.0000348481137773,1.0000348481137773,1.0000348481137773,1.0000348481137773,1.0000010038697575,0.9999857958807425,1.0000074354327317,1.0000074354327317,0.9999817265483285,0.9999781583176812,0.9999769166131308,1.00003484811
SPEC-RATE,1.0,1.1326098231341255,1.0992610667077878,1.103290756087276,1.1097951682547285,1.1198326910185439,1.1173174756605737,1.1179548602044715,1.1176016250927043,1.1178499654450227,1.1176016250927043,1.1209278682994175,1.1209844913740736,1.1218269152649456,1.1193714928537197,1.117488182504133,1.11693584083443,1.1185070935716295,1.13260982313
SPEC-MIX,1.0,1.034510290868994,0.9993920088923379,1.0191363133612077,1.028667458049872,1.026143825934099,1.0148268294692784,1.0133521537700496,1.0157684743121753,1.013866857242368,1.0157684743121753,1.030819569752018,1.0258792657548421,1.0259336524039973,1.0209706511445276,1.0127536788310156,1.0338711352460939,1.0385602134632315,1.03856021346
GAP,1.0,1.2515431359594331,1.0376722801279803,1.046165260513419,1.0593944097038965,1.0865711355351477,1.2300322828848935,1.2335333440014744,1.234335361428885,1.2369148940750438,1.234335361428885,1.2324610557717963,1.23396342825454,1.2338150022636645,1.2261182620023294,1.2242244451999456,1.2212087836461478,1.2212628260905534,1.25154313596
GMEAN,1.0,1.1720510080416358,1.0550973866165785,1.062094848070637,1.0715030818507014,1.0875316817756076,1.1516339734496872,1.152840324463595,1.1532434810723027,1.1540380329350863,1.1532434810723027,1.1558425846716296,1.155987075780067,1.1564059859730398,1.1517129223003777,1.1493919783509416,1.149812457994991,1.150951242353969,1.17205100804
